repository,url,owner,stars,last_updated
ChilliCream/graphql-platform,https://github.com/ChilliCream/graphql-platform,chillicream,5672,2026-03-12 08:54:36+00:00
supertrust/solo-pay,https://github.com/supertrust/solo-pay,supertrust,6,2026-03-12 06:09:13+00:00
kleros/kleros-v2,https://github.com/kleros/kleros-v2,kleros,80,2026-03-12 01:22:15+00:00
luxfi/exchange,https://github.com/luxfi/exchange,luxfi,3,2026-03-11 18:09:07+00:00
m0-foundation/subgraphs,https://github.com/m0-foundation/subgraphs,m0-foundation,0,2026-03-11 12:55:01+00:00
dappvibe/pexfi,https://github.com/dappvibe/pexfi,dappvibe,1,2026-03-11 11:12:50+00:00
kleros/vea,https://github.com/kleros/vea,kleros,12,2026-03-09 23:12:31+00:00
unattended-backpack/sacristy,https://github.com/unattended-backpack/sacristy,unattended-backpack,0,2026-03-09 02:55:10+00:00
OpenQDev/OpenQ-Graph,https://github.com/OpenQDev/OpenQ-Graph,openqdev,3,2026-03-08 06:44:02+00:00
tokamak-network/dust-protocol,https://github.com/tokamak-network/dust-protocol,tokamak-network,1,2026-03-08 06:28:23+00:00
futarchy-fi/futarchy-indexers,https://github.com/futarchy-fi/futarchy-indexers,futarchy-fi,0,2026-03-06 22:41:09+00:00
openPetition/opnVote,https://github.com/openPetition/opnVote,openpetition,4,2026-03-05 07:21:22+00:00
roycoprotocol/royco-subgraphs,https://github.com/roycoprotocol/royco-subgraphs,roycoprotocol,0,2026-03-03 17:40:27+00:00
vporton/zondirectory,https://github.com/vporton/zondirectory,vporton,0,2026-03-02 23:57:22+00:00
Defi-Oracle-Tooling/GRU-Official-Docs-Monetary-Policies,https://github.com/Defi-Oracle-Tooling/GRU-Official-Docs-Monetary-Policies,defi-oracle-tooling,0,2026-03-02 21:12:38+00:00
teller-protocol/teller-protocol-v2,https://github.com/teller-protocol/teller-protocol-v2,teller-protocol,17,2026-03-02 19:13:57+00:00
DiveshK007/EvoArena,https://github.com/DiveshK007/EvoArena,diveshk007,0,2026-02-28 08:15:41+00:00
crozdale/facinations2,https://github.com/crozdale/facinations2,crozdale,0,2026-02-25 15:43:19+00:00
SANTHOSH17-DOT/ETHIndia22,https://github.com/SANTHOSH17-DOT/ETHIndia22,santhosh17-dot,0,2026-02-25 04:27:35+00:00
nounsDAO/nouns-monorepo,https://github.com/nounsDAO/nouns-monorepo,nounsdao,684,2026-02-25 03:06:56+00:00
gaspare100/scrub-graphs,https://github.com/gaspare100/scrub-graphs,gaspare100,0,2026-02-24 14:58:35+00:00
qkeyco/ERC20pq,https://github.com/qkeyco/ERC20pq,qkeyco,0,2026-02-22 03:00:07+00:00
SwarmMarkets/chain-wiki-subgraph,https://github.com/SwarmMarkets/chain-wiki-subgraph,swarmmarkets,0,2026-02-13 07:07:27+00:00
Alnajaar/nilelink,https://github.com/Alnajaar/nilelink,alnajaar,0,2026-02-01 14:25:00+00:00
convex-community/convex-subgraph,https://github.com/convex-community/convex-subgraph,convex-community,14,2026-02-01 13:00:59+00:00
AntrikshRawat/wordChain,https://github.com/AntrikshRawat/wordChain,antrikshrawat,0,2026-01-25 06:58:45+00:00
Argusham/TranZit,https://github.com/Argusham/TranZit,argusham,0,2026-01-23 21:33:24+00:00
CamelotLabs/subgraphs,https://github.com/CamelotLabs/subgraphs,camelotlabs,1,2026-01-21 14:55:38+00:00
streamr-dev/network-contracts,https://github.com/streamr-dev/network-contracts,streamr-dev,17,2026-01-20 06:03:01+00:00
kilboa/memer,https://github.com/kilboa/memer,kilboa,0,2026-01-17 17:19:20+00:00
RahilBhavan/KYA,https://github.com/RahilBhavan/KYA,rahilbhavan,0,2026-01-12 21:38:48+00:00
MengShow2025/WEB3,https://github.com/MengShow2025/WEB3,mengshow2025,0,2026-01-10 05:50:17+00:00
Arttribute/agent-commons,https://github.com/Arttribute/agent-commons,arttribute,3,2026-01-09 20:58:27+00:00
kernel-community/honour,https://github.com/kernel-community/honour,kernel-community,14,2025-12-31 09:12:28+00:00
lilnounsDAO/lilnouns-monorepo,https://github.com/lilnounsDAO/lilnouns-monorepo,lilnounsdao,50,2025-12-24 21:41:01+00:00
kouki3fujita-alt/Base-Score-app,https://github.com/kouki3fujita-alt/Base-Score-app,kouki3fujita-alt,1,2025-12-20 05:12:30+00:00
KlimaDAO/klima-subgraph,https://github.com/KlimaDAO/klima-subgraph,klimadao,2,2025-12-18 15:21:25+00:00
iExecBlockchainComputing/PoCo-subgraph,https://github.com/iExecBlockchainComputing/PoCo-subgraph,iexecblockchaincomputing,5,2025-12-16 16:45:46+00:00
lidofinance/lido-subgraph,https://github.com/lidofinance/lido-subgraph,lidofinance,16,2025-12-15 15:47:46+00:00
katendravaibhav/Streamchain,https://github.com/katendravaibhav/Streamchain,katendravaibhav,0,2025-12-06 21:06:37+00:00
xampe11/frami,https://github.com/xampe11/frami,xampe11,0,2025-11-28 20:01:09+00:00
QuickSwap/v3-subgraphs,https://github.com/QuickSwap/v3-subgraphs,quickswap,2,2025-11-20 15:20:55+00:00
cheeseswapbsc/cheeseblock,https://github.com/cheeseswapbsc/cheeseblock,cheeseswapbsc,1,2025-11-19 11:18:34+00:00
TianYu-Yieldera/Yieldera,https://github.com/TianYu-Yieldera/Yieldera,tianyu-yieldera,0,2025-11-17 13:17:58+00:00
crmdevstars/benimrep5,https://github.com/crmdevstars/benimrep5,crmdevstars,2,2025-11-02 16:12:00+00:00
machadoborges1/scc-protocol,https://github.com/machadoborges1/scc-protocol,machadoborges1,0,2025-10-31 15:47:14+00:00
gamedaoco/gamedao-protocol,https://github.com/gamedaoco/gamedao-protocol,gamedaoco,12,2025-10-27 11:03:48+00:00
piplabs/story-dex-swaps,https://github.com/piplabs/story-dex-swaps,piplabs,0,2025-10-17 01:31:14+00:00
mendsalbert/zero-ai,https://github.com/mendsalbert/zero-ai,mendsalbert,1,2025-10-15 15:40:43+00:00
Graph-COM/Knowledge_Unlearning,https://github.com/Graph-COM/Knowledge_Unlearning,graph-com,12,2025-10-12 03:08:06+00:00
svendotdev/AI-NFT-Marketplace,https://github.com/svendotdev/AI-NFT-Marketplace,svendotdev,10,2025-09-30 11:50:47+00:00
gupta-soham/pulseproof,https://github.com/gupta-soham/pulseproof,gupta-soham,0,2025-09-28 02:53:59+00:00
GOATNetwork/DogeLock,https://github.com/GOATNetwork/DogeLock,goatnetwork,0,2025-09-22 10:23:29+00:00
0xgordian/aerograph,https://github.com/0xgordian/aerograph,0xgordian,0,2025-09-09 08:32:04+00:00
talentprotocol/paragraph-subgraph,https://github.com/talentprotocol/paragraph-subgraph,talentprotocol,5,2025-09-04 13:35:07+00:00
