repository,url,owner,stars,last_updated
exactly/exa,https://github.com/exactly/exa,exactly,23,2026-03-12 08:48:09+00:00
monark-community/digital-will,https://github.com/monark-community/digital-will,monark-community,1,2026-03-12 08:43:55+00:00
PolarisMusic/polaris-music,https://github.com/PolarisMusic/polaris-music,polarismusic,0,2026-03-12 06:38:42+00:00
rongarede/solidity-projects,https://github.com/rongarede/solidity-projects,rongarede,0,2026-03-12 02:12:25+00:00
geobrowser/gaia,https://github.com/geobrowser/gaia,geobrowser,1,2026-03-11 21:39:28+00:00
OnSocial-Labs/onsocial-protocol,https://github.com/OnSocial-Labs/onsocial-protocol,onsocial-labs,1,2026-03-11 17:25:18+00:00
propeller-heads/tycho-protocol-sdk,https://github.com/propeller-heads/tycho-protocol-sdk,propeller-heads,37,2026-03-11 12:50:38+00:00
Trustless-Work/Product,https://github.com/Trustless-Work/Product,trustless-work,5,2026-03-09 14:26:19+00:00
PaulieB14/Polymarket-P-L-Substreams,https://github.com/PaulieB14/Polymarket-P-L-Substreams,paulieb14,0,2026-03-05 02:30:23+00:00
m0-foundation/solana-m,https://github.com/m0-foundation/solana-m,m0-foundation,2,2026-03-03 13:53:28+00:00
teller-protocol/teller-protocol-v2,https://github.com/teller-protocol/teller-protocol-v2,teller-protocol,17,2026-03-02 19:13:57+00:00
PaulieB14/Polymarket-Substreams,https://github.com/PaulieB14/Polymarket-Substreams,paulieb14,0,2026-02-25 04:07:00+00:00
rexbrahh/LP_indexer,https://github.com/rexbrahh/LP_indexer,rexbrahh,1,2026-02-24 17:50:23+00:00
sablier-labs/solana-indexers,https://github.com/sablier-labs/solana-indexers,sablier-labs,2,2026-02-23 12:44:17+00:00
blocktorch-xyz/blocktorch-substreams,https://github.com/blocktorch-xyz/blocktorch-substreams,blocktorch-xyz,0,2026-02-20 11:54:00+00:00
enviodev/univ3-substreams,https://github.com/enviodev/univ3-substreams,enviodev,0,2026-02-20 11:08:03+00:00
v3xlabs/rescue-name-substream,https://github.com/v3xlabs/rescue-name-substream,v3xlabs,1,2026-02-20 10:52:28+00:00
manojkushwah91/solana-transfer-extraction,https://github.com/manojkushwah91/solana-transfer-extraction,manojkushwah91,0,2026-02-18 15:16:43+00:00
